start_time,duration,AUCROC,X_train,X_test,warm_start,C,n_jobs,verbose,intercept_scaling,fit_intercept,max_iter,penalty,multi_class,random_state,dual,tol,solver,class_weight
2016-03-04 14:38:25,11.132022,0.71634567797696513,5Fold(X_scaled[-heroes]),5Fold(X_scaled[-heroes]),False,100.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 14:38:36,11.085399,0.71634569597685449,5Fold(X_scaled[-heroes]),5Fold(X_scaled[-heroes]),False,1000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 14:38:47,11.075048,0.71634568962478362,5Fold(X_scaled[-heroes]),5Fold(X_scaled[-heroes]),False,10000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 14:38:58,11.100923,0.71634568856586101,5Fold(X_scaled[-heroes]),5Fold(X_scaled[-heroes]),False,100000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 14:39:09,11.071845,0.71634568856586101,5Fold(X_scaled[-heroes]),5Fold(X_scaled[-heroes]),False,1000000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 14:39:20,11.153811,0.71634568856586101,5Fold(X_scaled[-heroes]),5Fold(X_scaled[-heroes]),False,10000000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 14:39:31,11.129843,0.71634568856586101,5Fold(X_scaled[-heroes]),5Fold(X_scaled[-heroes]),False,100000000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 14:39:42,11.101987,0.71634568856586101,5Fold(X_scaled[-heroes]),5Fold(X_scaled[-heroes]),False,1000000000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 14:39:54,11.089978,0.71634568856586101,5Fold(X_scaled[-heroes]),5Fold(X_scaled[-heroes]),False,10000000000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:23:43,1.59502,0.59456066074983061,5Fold(X_dummy),5Fold(X_dummy),False,1e-10,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:23:45,1.797404,0.68932825207281945,5Fold(X_dummy),5Fold(X_dummy),False,1.0000000000000001e-09,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:23:46,1.98363,0.68934135996021795,5Fold(X_dummy),5Fold(X_dummy),False,1e-08,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:23:48,1.999909,0.68945528601198514,5Fold(X_dummy),5Fold(X_dummy),False,9.9999999999999995e-08,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:23:50,2.281519,0.69055908954223999,5Fold(X_dummy),5Fold(X_dummy),False,9.9999999999999995e-07,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:23:53,2.923854,0.69918099169657089,5Fold(X_dummy),5Fold(X_dummy),False,1.0000000000000001e-05,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:23:56,4.989407,0.72493094800932023,5Fold(X_dummy),5Fold(X_dummy),False,0.0001,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:24:00,9.373524,0.74605707417708633,5Fold(X_dummy),5Fold(X_dummy),False,0.001,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:24:10,15.657243,0.75142673295382045,5Fold(X_dummy),5Fold(X_dummy),False,0.01,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:24:26,20.76078,0.75163153385453629,5Fold(X_dummy),5Fold(X_dummy),False,0.10000000000000001,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:24:46,22.801416,0.75161188293179537,5Fold(X_dummy),5Fold(X_dummy),False,1.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:25:09,23.320513,0.75160876055039105,5Fold(X_dummy),5Fold(X_dummy),False,10.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:25:32,23.510634,0.75160832413795065,5Fold(X_dummy),5Fold(X_dummy),False,100.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:25:56,22.291603,0.75160828596619711,5Fold(X_dummy),5Fold(X_dummy),False,1000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:26:18,22.240383,0.75160830819807889,5Fold(X_dummy),5Fold(X_dummy),False,10000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:26:40,22.328145,0.75160829864813672,5Fold(X_dummy),5Fold(X_dummy),False,100000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:27:03,22.958452,0.75160816096013516,5Fold(X_dummy),5Fold(X_dummy),False,1000000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:27:26,22.22656,0.75160831667581862,5Fold(X_dummy),5Fold(X_dummy),False,10000000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:27:48,23.211481,0.75160833889736778,5Fold(X_dummy),5Fold(X_dummy),False,100000000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:28:11,24.152229,0.75160825524377195,5Fold(X_dummy),5Fold(X_dummy),False,1000000000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
2016-03-04 19:28:35,28.773411,0.75160828065932872,5Fold(X_dummy),5Fold(X_dummy),False,10000000000.0,4,0,1,True,100,l2,ovr,19,False,0.0001,liblinear,
